id,Scientific Name,Water Consuption,Environmental Conditions,uses
Oleander flower,Nerium oliander,An oleander shrub needs 1 to 2 inches of water each week while it is actively growing. Let the soil dry out between waterings.,"Oleanders grow best in full sun and will tolerate even reflected heat from a south or west wall. They will tolerate partial shade, but may have a lanky, open shape. Oleander (Nerium oleander) leaves and branch habit. Oleanders are tolerant of many different soil types, but must have good drainage.","Oleander has traditionally been used in the treatment of cardiac illness, asthma, diabetes mellitus, corns, scabies, cancer, and epilepsy, and in wound healing as an antibacterial/antimicrobial. However, limited quality clinical trials are available to support these uses."
Narcissistic flower,Narcissus,provide daffodils with about an inch of water per week while they are putting on foliage and blooming. Bulbs that are planted under trees should be watered twice a week because of competition for water with thirsty tree roots. Continue watering for three weeks after blooms fade.,Narcissus are perfect in ground cover beds or in perennial borders where emerging plants hide their yellowing foliage. It is crucial that the stems and leaves remain attached to the bulbs until they begin to lose their green colour.,"Ornamental: Narcissus flowers are used in many different areas of life, including decorating rooms and gardens and making perfumes. Medicinal: Narcissus flowers have been used as medicine for centuries because of their healing properties."
Crismon clover,Trifolium,"Crimson clover tolerates from 3.1-16.3 dm (12.2-64.2 inches) of annual precipitation, with the mean of 30 case being 9.2 Duke","Crimson clover grows best on well-drained, fertile, loamy soils, and is adapted to sandy to clayey soils of moderate acidity (pH 5.5 to 7.0); it does not grow well on poorly- drained or highly alkaline soils (Clark, 2007; Knight, 1985). This species tolerates more acidity than white and red clover (Whyte, 1953)","Crimson clover is used for pasture or hay, as a green manure or cover crop in rotation with vegetables or field crops, as a reseeding cover crop between rows in vineyards, berries, and fruit and nut orchards. It is a source of pollen and nectar for pollinators."
purple coneflower,Echinacea purpurea,"Water — 1-2 times per week when established. These are drought-tolerant plants, but they produce better blooms when the soil is consistently moist. Water them deeply and slowly so that the ground beneath the roots holds water. Water them when the top layer of soil is dry.","Coneflower plants thrive in hot, dry climates but can handle a range of temperature and humidity fluctuations. Though, they do not do as well in very humid climate conditions, or in rainy areas where the soil stays wet.","Echinacea, also known as the purple coneflower, is an herbal medicine that has been used for centuries, customarily as a treatment for the common cold, coughs, bronchitis, upper respiratory infections, and some inflammatory conditions."
Chickweed,Stellaria media,"Common Chickweed needs 0.8 cups of water every 9 days when it doesn't get direct sunlight and is potted in a 5.0"" pot.","Chickweed grows best on moist, heavy, nitrogen rich soils at optimum constant temperatures of 12 -20°C. It is very sensitive to drought and is not a problem in drier areas. Chickweed can germinate throughout the year but has two main flushes; one is early spring while the other is late fall.","Chickweed is a plant. The leaf is used to make medicine. Chickweed is used for stomach and bowel problems, lung diseases, wounds and skin ulcers, joint pain, and other conditions, but there is no good scientific evidence to support these uses. In foods, chickweed is eaten in salads or served as cooked greens."
Chamomile,Matricaria recutita,"In both cases, if there are no frequent rainfalls, they need to be watered regularly until the seeds germinate and the plants settle well and start to grow. After this period, the plants do not need regular watering unless there is a prolonged drought.",The best climates for the average chamomile plant are those with long warm days (enough sunshine hours) and cool nights.,"Chamomile preparations are commonly used for many human ailments such as hay fever, inflammation, muscle spasms, menstrual disorders, insomnia, ulcers, wounds, gastrointestinal disorders, rheumatic pain, and hemorrhoids. Essential oils of chamomile are used extensively in cosmetics and aromatherapy."
cattails,Typha latifolia,"Cattails adapt in a variety of interesting ways: They can live in fresh or somewhat brackish water, and can live in up to 2 feet of water or grow in floating ","Cattails are usually found in a dense stand (many together) in up to 2 ft. of water in marshes and other wetlands throughout most of the world. Cattails adapt in a variety of interesting ways: They can live in fresh or somewhat brackish water, and can live in up to 2 feet of water or grow in floating mats.","Cattails are important to wildlife, and many species are also cultivated ornamentally as pond plants and for dried-flower arrangements. The long flat leaves of the common cattail (Typha latifolia) are used especially for making mats and chair seats. The starchy rhizomes are eaten in some places. "
Cannabis flower,Marijuana,"On average, the researchers found, a cannabis plant consumes an estimated 22.7 liters, or 6 gallons, of water per day during the growing season, which is typically 150 days long from June through October.","Cannabis has an ideal humidity range, just as it has an optimal temperature range. Most cannabis growers prefer a range of 40-70% relative humidity, depending on the growth stage. In terms of VPD (vapor pressure deficit), the ideal range is 0.8-1.1 kPa during the growth stage, and 1.0-1.5 kPa during flowering stages.","Cannabis is commonly used as a recreational drug. People also commonly use cannabis for multiple sclerosis (MS) and nerve pain. It is also used for nausea, vomiting, migraine, and many other conditions, but there is no good scientific evidence to support these uses."
Canna,Canna indica,"On average, the researchers found, a cannabis plant consumes an estimated 22.7 liters, or 6 gallons, of water per day during the growing season, which is typically 150 days long from June through October.",canna indica showed a remarkable ability to adapt to different light environments and is suitable a s an intercropping plant under the shade of tree canopies. Shoot length (cm) and leaf area (cm 2 ) of C. indica grown under Full sun (100% light) and 25% of full sunlight.,"Canna can be used to treat menstrual pains. The root can be used to treat gonorrhea and amenorrhoea. In Nigeria, people turn the root into a powder and ingest it to treat diarrhea and dysentery . They also use the flowers as a medicine for malaria."
Calendula flower,Calendula officinalis,"Watering them every three days for about 1 or 2 weeks should suffice. Once the plants look happy in their new home, water them about once a week. A gardening drip line that delivers water once a week is an excellent way to keep the marigolds happy as they grow.","It grows best in fertile, well drained soils from full sun to part shade. Calendula blooms throughout the season with yellow to orange blossoms that open and close with the sun. Calendula is easily grown from seed","The dried petals of the calendula plant are used in tinctures, ointments, and washes to treat burns, bruises, and cuts, as well as the minor infections they cause. Calendula also has been shown to help prevent dermatitis or skin inflammation in people with breast cancer during radiation therapy."
Buttercup flower,Ranunculus,"water 9 - 10 mm weekly to keep the topsoil moist. When the plant is dormant with only the bulb present under the soil, water 7 - 8 mm every two weeks.","Creeping buttercup grows particularly well in moist or poorly drained situations, although it will also colonize sandy and gravel-based soils with sufficient moisture.","Despite safety concerns, buttercup is used for arthritis, nerve pain, skin problems, and swelling (inflammation) of the main airways in the lung (bronchitis), but there is no good scientific evidence to support these uses."
Bromeliad,Bromeliaceae,"Bromeliads don't require much water, so you can water them when the soil feels dry or once a week if you want to keep them watered regularly. If you forget to water them, there's no need to worry. The leaves will still stay green until they wilt completely.","When growing bromeliads, don't expose them to temperatures lower than 40 degrees. They do best indoors with humidity levels between 40 and 60 percent. To increase humidity, set bromeliad's pot in a saucer of gravel filled with water. Make sure the bromeliad's roots are not submerged, or the plant might get root rot","Scientific research shows that bromeliads can improve indoor air quality after business hours. While most common indoor plants purify the air during the day, bromeliads release oxygen and remove air pollutants during the night."
Bougainvillea,Bougainvillea glabra,water on the soil if it appears dry. Too much water will rot the cutting. The bougainvillea cuttings take seven to ten weeks to develop root. The new growth will emerge in 7-10 weeks depending on the temperature,"Bougainvillea does best at elevations from 10 to 2500 feet. Bougainvillea can tolerate hot dry locations, with temperatures over 35-40°C. It does well in locations with a minimum of 18°C at night and 23-35°C during the day.","The aqueous extract and decoction of this plant have been used as fertility control among the tribal people in many countries. Furthermore, it has been shown to possess anticancer, antidiabetic, antihepatotoxic, anti-inflammatory, antihyperlipidemic, antimicrobial, antioxidant, and antiulcer properties."
Blue vervain,Verbena hastata,"blue vervain  is a hardy plant. While it can survive in temperatures between 14 - 19 ℃, it prefers temperatures between 20 - 26 ℃ to encourage an abundance of flowers. While it is technically a perennial, some find it easier to grow the blue vervain as an annual plant, depending on location and variety.","Habitat. Blue Vervain can be expected to grow in areas with moist to wet soil and full to partial sun. It is often found in meadows, streambanks, pastures, marshes, waste areas, fields, river bottom prairies, and ditches. It can grow in degraded lands and disturbed areas.","Blue Vervain typically has a bitter taste but leaves and seeds can be soaked in cold water multiple times to offset the bitterness. The roots of the plant can be used for internal medicine to treat depression, anxiety, coughs, colds, fevers, stomachaches, cramps, jaundice, and headaches."
Blue chicory,Cichorium intybus,"water needs will repeatedly change throughout the seasons. During most of spring and summer, you should water your Common chicory about once every week. As the heat of summer arrives, you should plan to increase your watering frequency to once or twice per day. ",This easy to grow plant prefers full sun and well-drained soil though its withstands a wide variety of soil types. It does best cool weather and one established can be quite drought tolerant though it does not do well in heat and humidity so it can suffer in southern summers.,"The flowers of the chicory plant (Cichorii flos) are used as a herbal treatment of everyday ailments such as a tonic and appetite stimulant and as a treatment of gallstones, gastroenteritis, sinus problems, cuts, and bruises"
Baby breath flower,Gypsophila elegans ,You have to allow these blooms to absorb water for at least two to three hours. These stems of baby's breath saturated with water can easily survive for 2 to 3 days out of water.,"Baby's breath prefers full sun, so pick a spot that gets at least six hours of direct sunlight a day. 2. Prepare the soil. In terms of soil, baby's breath will do best in well-draining soil a little on the sandy side, with plenty of organic matter and a pH between 7.0 to 7.5","A few species are commercially cultivated for several uses, including floristry, herbal medicine, and food. The baby's-breath most commonly used in flower arrangements such as bouquets is the common gypsophila, G. paniculata."
Aster,Aster,Water at least once a week · Water well in dry weather · Water asters in pots at least every other day.,"Prefers cooler climates with day temperature of 20-300C, night temperature of 15-170C and relative humidity of 50-60%. Bright sunlight is required for growth and flowering. Propagation and planting: Propagated through seeds; seed rate is 2.5 - 3.0 kg/ha.","Either dried or fresh, the flowers and leaves of the Aster plant can be eaten. However, they are most commonly used nowadays in herbal teas, fresh in salads, or used as garnish. It has several health benefits and has traditionally been used in the treatment of weak skin, pain, fevers and diarrhea"
Asparagus,Asparagus officinalis,"Asparagus patches should receive at least one inch of water every week. If they have not received an inch of rain in the last week, soak the soil with water. Asparagus growing in sandy soil should be watered more than once per week in the absence of rain, and heavy clay soils may not need to be watered as often.","Soil Requirements for Asparagus Cultivation:- Asparagus can be grown in wide range of soils. However, well-drained soils rich in organic matter with pH 6.5 to 7.5 are ideal for its cultivation. If the soil is more acidic in nature, liming should be done. On heavy soils consider creating raised beds.","Asparagus (Asparagus officinalis) is a plant widely grown as a vegetable. The spears are commonly eaten. The root and seeds are used to make medicine. Asparagus can increase urine production and is also a good source of dietary fiber, folic acid, vitamin C, vitamin E, vitamin B6, and several minerals."
Anemone flower,windflower,"Give Anemones at least one inch of water per week in the peak of summer. Depending on the amount of light the patch receives and how quickly the soil drains, you may need to water less often or more often as the seasons change. Include any rain that falls naturally in your plans for watering these plants.","All anemones grow in any reasonable soil that has good drainage. Grow Anemone blanda in pots and borders in sun or partial shade, Anemone coronaria in full sun and free-draining soil, and Anemone nemorosa in partial shade in humus-rich, slightly damp soil.","Various medicinal compounds have been found in Anemone plants, especially triterpenoid saponins, some of which have shown anti-cancer activities. Some Anemone compounds and extracts display immunomodulatory, anti-inflammatory, antioxidant, and antimicrobial activities"
belladonna lily,amaryllis,"Little watering is necessary until the bud and stem appears, then you'll need to water more often. Check the soil surface with your fingertips – it should be slightly damp. When the soil feels dry to the touch, water sparingly, no more than once a week.","The optimal environment is a room with a lot of natural light with temperatures between 68-77 degrees (F). In the early weeks prior to sprouting, it is ok to place the potted bulbs in a dark place if the temperature is within range.","Hippeastrum alkaloids help with depression, seizures, and anxiety."
Mini carnation purple,Dianthus caryophyllus.,"Carnations typically need to be watered about once per week. The plants can tolerate short periods of drought or dryness and are sometimes considered drought tolerant. As long as the soil is well drained, the plants can tolerate heat, heavy rainfall, humidity, or dryness",Carnations will grow best in temperatures that are 50-65 degrees during the day and 40-50 degrees at night.,"Mini Carnations are also known as “spray” carnations because on each individual stem, there are multiple smaller flower blooms. These little beauties not only thrive with a long vase life but also can be used in a variety of arrangements such as garlands or kissing balls to bouquets and boutonnieres."
Milk thistle flower,Silybum marianum,"Little watering is necessary until the bud and stem appears, then you'll need to water more often","Milk thistle is considered drought resistant and normal rainfall will often suffice. Both water excess and deficit inhibits silymarin accumulation (Andrzejewska et al., 2011). In a Mediterranean environment, under severe drought conditions, the crops should be irrigated during seed growth and filling.","Historically, people have used milk thistle for liver disorders and gallbladder problems. Milk thistle is promoted as a dietary supplement for hepatitis, cirrhosis, jaundice, diabetes, indigestion, and other conditions."
Madagascar Periwinkle,Catharanthus roseus,"However, the madagascar periwinkle does not do well in waterlogged soil; water it thoroughly after planting, and then only water it again after the soil dries out. After that, water it once every 3-4 days in the spring, and every 2-3 days in the summer. You can drop this down to once a week in the fall and winter.","It prefers to be grown in full sun and well-drained soil, and is easily propagated from cuttings. Gardeners should prune the plant regularly to help encourage the development of a more compact plant that can be used as bedding or ground cover.","Overview. Madagascar periwinkle is a plant. The parts that grow above the ground and the root are used to make medicine. Madagascar periwinkle is used for diabetes, cancer, sore throat, cough, insect bite, and many other conditions, but there is no good scientific evidence to support these uses."
Lisianthus Flower,Eustoma,"Lisianthus prefers to have an even amount of water, about 1 inch per week. If it doesn't rain often, the plant will need to be watered. Young seedlings should be kept moist until they're mature, but even in maturity, the flowers perform best when they receive plenty of water","Lisianthus is a heat-loving plant that is native to areas where the days are relatively dry and the summer nights are warm, though they will flower more profusely if given more moisture. They do not mind hot conditions and can even tolerate a bit of drought, though this may reduce the flowers.","Aesthetic Uses: Beautification, Bouquets, Showy Purposes and Used for decorating walls, fences, gates, hedges"
Larkspur flower,Delphinium ajacis,"Larkspur doesn't like to stay wet for long periods, but it does need consistent moisture. Be sure that plants stay evenly moist, especially when flowering. If they remain too dry for too long, plants can become stunted and have poor bud set, so you may miss out on blooms.","Grow larkspur in moist but well-drained soil in full sun. They are tall plants, so work best at the back of a sunny border. Avoid windy spots, as wind can blow them over.","The seed is anthelmintic, mildly diuretic, hypnotic, purgative and vasodilator. It has been used internally in the treatment of spasmodic asthma and dropsy. The flowers or the whole plant are mildly diuretic and hypotensive."
Jonquil flower,Narcissus jonquilla,Provide daffodils with about an inch of water per week while they are putting on foliage and blooming. Bulbs that are planted under trees should be watered twice a week because of competition for water with thirsty tree roots. Continue watering for three weeks after blooms fade.,Jonquils prefer full winter sun or partial shade to flower well. Planting beneath a deciduous tree can be ideal as it lets through the full sun in winter and dappled light in the spring and summer months.,"jonquil, (Narcissus jonquilla), bulbous herb of the amaryllis family (Amaryllidaceae), commonly grown as a garden flower. Jonquils are native to the Mediterranean region and are cultivated in similar climates around the world. The attractive flowers are fragrant and produce an oil used in perfumes. See also narcissus."
Hyacinth flower,Hyacinthus,"Do NOT overwater hyacinth. They do not like stand water or to have “wet feet.” Water ONLY if the soil is dry at a depth of 3 inches. If it is dry at that depth, it is time to water. Water deeply at soil level, not from overhead or with a sprinkler which encourages disease.","Most hyacinths need a chill to bloom, so they do best in areas where winter temperatures are consistently in the 30s. If you live in an area with warmer winters, buy pre-chilled bulbs and treat them as annuals.",Treats Cholera: The stem of this plant can be used to treat cholera. Heals Sore Throat: Save.  Treats Snake Bites
Harebell flower,Campanula rotundifolia,"Although they prefer a cool summer, the broad-leaved harebell can survive in temperatures up to 26 ℃, as long as they are regularly watered. If the temperature exceeds this, then the flowers will die, and the plant may not bloom again that year.","The plant thrives in temperatures around 16 - 18 ℃, and some varieties will survive cold temperatures down to -10 ℃. Although they prefer a cool summer, the broad-leaved harebell can survive in temperatures up to 26 ℃ If the temperature exceeds this, then the flowers will die, and the plant may not bloom again that year",The leaves of the Harebell plant are used in the preparation of salads. Its roots that are more or less parsnip-like are used as radish.
Golden champa flower,Magnolia champaca,"They necessitate a large amount of water. When the plants are placed in direct sunlight in warmer climates, you should water the Champa flower on a regular basis. Before watering your Champa flower plants in cold or humid weather, make sure to check the moisture content of the soil.",Champa plants like a warm and humid climate. They can withstand a certain level of heat. They are not resistant to freezing temperatures.,"Champaka is used as a stress relieving herb that slackens the visual signs of stress. With reduced stress, fewer fine lines and wrinkles appear on the skin. The potent essential oil of Champaka qualifies as the perfect natural skincare ingredient that delivers anti-aging results."
Forget me not,Myosotis,"Forget-me-nots thrive in moist soil conditions, which is why our gardening experts suggest watering them at about three to four times a week in the spring and summer. ""Plenty of water will ensure these bright faced beauties will bloom from spring through summer,"" Wilkness says","Grow forget-me-nots in moist, but well-drained soil in a sunny or shady spot. Planting forget-me-nots alongside other shade-loving plants, such as hosta, pictured, can make for an attractive display.","Forget-me-not is an herb. The whole plant is used to make medicine. Despite safety concerns, people take forget-me-not for lung problems and nosebleeds."
Fireweed flower,Chamaenerion angustifolium,Water — 1-2 times per week when established. water them when the top layer of the soil is dry,"Fireweed may be grown in well-drained, moist soil but they establish best with the addition of fertilizer. They grow best in full sun, but will tolerate some shade. Installation form (form, potential for successful outcomes, cost) – Seeds or cuttings.","Fireweed is an herb. The parts of the plant that grow above ground are used to make medicine. Fireweed is used for pain and swelling (inflammation), fevers, tumors, wounds, and enlarged prostate (benign prostatic hyperplasia, BPH). It is also used as an astringent and as a tonic."
Elderberry,Sambucus,"grows best on well-drained, fertile, loamy soils, and is adapted to sandy to clayey soils of moderate acidity (pH 5.5 to 7.0); it does not grow well on poorly- drained or highly alkaline soils","Elderberries are very easy to grow as long as they are planted in the right situation. They grow very well in consistently moist, fertile soils.","Elderflower is used for common cold, flu (influenza), swelling (inflammation) of the nasal cavity and sinuses (rhinosinusitis), and many other conditions, but there is no good scientific evidence to support these uses. In foods and beverages, elderflower is used as a flavoring component."
Downy yellow violet,Viola pubescens,Only water once a week and allow the plant to completely dry between waterings. One ingenious way of making sure your African violets are never over watered is by setting up a wicking system,"This plant grows in open woods in mesic to dry conditions, and in floodplains along rivers and streams. Downy yellow violets may not be as aggressive as some other violets in a garden, but will spread over time in ideal conditions — part shade and medium to dry soils. Plants can be divided and moved to new areas.",Downy yellow (v. pubescens) *roots used to ease sore throats among other medicinal. Kidney-leaved (v. renifolia) *roots used to induce vomiting.
Delonix regia flower,Royal poinciana,"It is a general rule for Delonix to keep the soil moist at all times. When the weather is warm and sunny, it grows quickly. Young trees require a lot of water to grow, especially in their first summer, but don't overwater as this can damage the tree's roots.",Flame trees are propagated from seed. Let the dry seeds swell in lukewarm water for a few days before you put them in cultivation soil. Keep them at a steady temperature of 68° F / 20° C. It will take about three weeks until the seeds germinate,"Traditionally Delonix regia (Boj.) Raf. has been used in various ailments such as chronic fever, antimicrobial, constipation, inflammation, arthritis, hemoplagia, piles, boils, pyorrhea, scorpion bite, bronchitis, asthma and dysmenorrhoea."
Dandelion,Taraxacum,"Dandelions like moist soil, so you should water them regularly to keep them hydrated. Make sure that the top two inches of the soil are dry before each round of watering","Dandelion is a short-lived perennial that will grow just about anywhere, regardless of soil conditions, but rich soil will improve its growth.","The leaves are used to stimulate the appetite and help digestion. Dandelion flower has antioxidant properties. Dandelion may also help improve the immune system. Herbalists use dandelion root to detoxify the liver and gallbladder, and dandelion leaves to help kidney function."
Daisy Fleabane,Erigeron annuus,"Water the plants as needed to keep their soil moist but not soaking wet. Although daisy fleabane plants don't do well in completely waterlogged soil, the plants are suitable for garden spaces that drain more slowly than most plants require","Daisies prefer rich fast-draining soil, plenty of water, and ample sunshine. Healthy soil means healthy roots for your daisies, so it's best to put the time in to amend the soil in your garden before planting.","Today, it continues to be valued for its astringent properties and for its use in the treatment of gastro-intestinal problems such as diarrhea and for the effective treatment of bleeding hemorrhoids as an anti-rheumatic, diuretic, emmenagogue, styptic, and many other traditional uses."
Daisy,Bellis perennis,"Daisies don't require a set watering schedule; in fact, they prefer the soil to dry out somewhat between waterings. Check the top 4-5 in (10.2-12.7 cm) of soil – if it's dry, water the daisies deeply from underneath so that their leaves don't get wet. The best time to do this is in the morning.","Daisies prefer rich fast-draining soil, plenty of water, and ample sunshine. Healthy soil means healthy roots for your daisies, so it's best to put the time in to amend the soil in your garden before planting.","People take wild daisy tea for coughs, bronchitis, disorders of the liver and kidneys, and swelling (inflammation). They also use it as a drying agent (astringent) and as a ""blood purifier."" Some people take homeopathic wild daisy for preventing problems during childbirth, pain and soreness, and minor bleeding."
nan,nan,nan,nan,nan
